song_id,label,prediction,prediction_label,confidence,real_prob,fake_prob
-00LQHKG4kI,real,1,real,0.9999967813491821,0.9999967813491821,3.187565198459197e-06
-0sQO3HwoRs,real,1,real,0.9999983310699463,0.9999983310699463,1.640820528336917e-06
-DdWTeiU6dw,real,1,real,0.9999512434005737,0.9999512434005737,4.870463817496784e-05
-N7QW-5snrM,real,1,real,0.9846641421318054,0.9846641421318054,0.015335820615291595
-NNXv_89OX0,real,1,real,0.9999998807907104,0.9999998807907104,1.202619159812457e-07
-NZtpapVHmA,real,1,real,0.9995158910751343,0.9995158910751343,0.00048406238784082234
04WRI-0odjk,real,1,real,0.999990701675415,0.999990701675415,9.295809832110535e-06
0V8wRr6aIsU,real,1,real,0.9999376535415649,0.9999376535415649,6.229333666851744e-05
0mAKzXKRCL0,real,1,real,0.9995686411857605,0.9995686411857605,0.000431398453656584
11Nw_Es-erg,real,1,real,0.9999945163726807,0.9999945163726807,5.464745754579781e-06
1Ct6rWj4Sos,real,1,real,0.9999867677688599,0.9999867677688599,1.32636678245035e-05
1HujO3vWIMk,real,1,real,0.9914058446884155,0.9914058446884155,0.008594110608100891
1aQd99zfIRo,real,1,real,1.0,1.0,5.4418453743210193e-08
1pljc8Pe63Y,real,1,real,0.9999985694885254,0.9999985694885254,1.414475946148741e-06
1rAgFjkvbOs,real,1,real,0.993854820728302,0.993854820728302,0.006145091727375984
1rhq4puGK6M,real,1,real,0.9999719858169556,0.9999719858169556,2.7969301299890503e-05
1w4lX5lRUvY,real,1,real,0.9999775886535645,0.9999775886535645,2.2386475393432193e-05
2EqhbumNkOE,real,1,real,0.9998534917831421,0.9998534917831421,0.00014653129619546235
2EyeYlPhzLc,real,1,real,0.9999274015426636,0.9999274015426636,7.254361844388768e-05
2MMfquRR4GI,real,1,real,0.956308901309967,0.956308901309967,0.043691057711839676
2W059J3YJZc,real,1,real,0.9998279809951782,0.9998279809951782,0.0001719785650493577
2ZzUpDlQVzU,real,1,real,0.9999997615814209,0.9999997615814209,2.1272161632168718e-07
2akRoGO8PaQ,real,1,real,0.9999889135360718,0.9999889135360718,1.1039027413062286e-05
2hDRxBpyHbc,real,1,real,1.0,1.0,2.0176443626951368e-08
2rLwjYdwL68,real,1,real,0.9999998807907104,0.9999998807907104,1.7566492260812083e-07
2sE1_hQvFQw,real,1,real,0.9989204406738281,0.9989204406738281,0.0010796068236231804
3-OTPB2Vz70,real,1,real,0.9999940395355225,0.9999940395355225,6.001845576975029e-06
3AwJEQyqRnM,real,1,real,0.9999035596847534,0.9999035596847534,9.647852130001411e-05
3CUr0bnDCfM,real,1,real,0.9999595880508423,0.9999595880508423,4.037790131405927e-05
3D8NSSi9uhY,real,1,real,0.9999732971191406,0.9999732971191406,2.6688530851970427e-05
3XPob6_frcc,real,1,real,1.0,1.0,1.1406728006591038e-08
3YV8OLGrcfw,real,1,real,0.9990872144699097,0.9990872144699097,0.0009128307574428618
3ZKyfu2bNfQ,real,1,real,0.9999979734420776,0.9999979734420776,2.026142283284571e-06
3dMSPFKGmAo,real,1,real,0.9997305274009705,0.9997305274009705,0.0002694791473913938
3yHDUM78VrQ,real,1,real,0.9999995231628418,0.9999995231628418,4.263653750058438e-07
